"","sex","age","race","education","PID","PID7","partisan","ascent_D","ascent_R","therm_D","therm_R","meta_prejudice","meta_dehum","political_threats","political_harassment","political_violence","toxic","experiment","version","target_party","condition"
"41","Male","36-40","White","Bachelor's Degree","Independent",4,0,0,49,0,22,"Strongly agree ","Strongly agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"42","Female","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,95,45,94,57," Somewhat agree"," Strongly agree",2,2,3,7,"DCG","Graph","Democrat","Control"
"43","Male","36-40","White,Hispanic or Latino/a","Bachelor's Degree","Lean Republican",5,1,95,100,30,80,"Agree ","Neither agree nor disagree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"44","Female","18-25","White","Bachelor's Degree","Strong Democrat",1,1,86,77,44,82," Neither agree nor disagree"," Agree",2,1,3,6,"DTG","Graph","Democrat","Treatment"
"45","Female","41-45","White","High school graduate, diploma or the equivalent","Lean Republican",5,1,40,90,40,85,"Somewhat agree ","Agree ",1,1,1,3,"RCI","Image","Republican","Control"
"46","Female","26-30","American Indian or Alaska Native","Bachelor's Degree","Independent",4,0,86,97,95,90,"Neither agree nor disagree ","Strongly agree ",3,3,4,10,"RTG","Graph","Republican","Treatment"
"47","Male","26-30","White","Master's Degree","Independent",4,0,81,51,61,72," Neither agree nor disagree"," Neither agree nor disagree",2,3,3,8,"DCV","Vignette","Democrat","Control"
"48","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Republican",6,1,57,75,72,81,"Neither agree nor disagree ","Somewhat agree ",2,3,2,7,"RTI","Image","Republican","Treatment"
"49","Female","18-25","Asian or Asian American","Bachelor's Degree","Democrat",2,1,78,56,70,57," Somewhat disagree"," Neither agree nor disagree",2,2,3,7,"DTV","Vignette","Democrat","Treatment"
"50","Female","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,91,89,80,93," Agree"," Strongly agree",4,3,NA,NA,"DTV","Vignette","Democrat","Treatment"
"51","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,68,76,70,87," Agree"," Neither agree nor disagree",1,2,3,6,"DTI","Image","Democrat","Treatment"
"52","Female","18-25","Hispanic or Latino/a","Bachelor's Degree","Lean Democrat",3,1,43,15,67,2," Agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"53","Female","36-40","White","Associate Degree","Democrat",2,1,88,85,37,5," Somewhat agree"," Neither agree nor disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"54","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,100,58,100,38," Somewhat agree"," Agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"55","Male","31-35","White","Some college credit, no degree","Strong Democrat",1,1,100,100,70,20," Strongly agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"56","Male","31-35","White","Bachelor's Degree","Independent",4,0,100,100,35,51," Agree"," Somewhat agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"57","Male","51+","White","Associate Degree","Strong Democrat",1,1,100,100,85,2," Agree"," Neither agree nor disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"58","Male","26-30","White","Master's Degree","Independent",4,0,54,81,75,54,"Somewhat disagree ","Somewhat agree ",3,2,3,8,"RTG","Graph","Republican","Treatment"
"59","Female","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,87,100,86,100,"Somewhat agree ","Strongly agree ",2,3,4,9,"RTV","Vignette","Republican","Treatment"
"60","Male","36-40","White","Bachelor's Degree","Democrat",2,1,99,78,84,17," Agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"61","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,96,74,71,72," Neither agree nor disagree"," Neither agree nor disagree",2,2,3,7,"DCG","Graph","Democrat","Control"
"62","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,74,92,89,72,"Somewhat agree ","Agree ",2,1,2,5,"RCV","Vignette","Republican","Control"
"63","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,55,62,45,61,"Neither agree nor disagree ","Somewhat disagree ",3,3,3,9,"RCG","Graph","Republican","Control"
"64","Male","31-35","White","Some college credit, no degree","Independent",4,0,100,100,50,50," Agree"," Strongly disagree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"65","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Republican",7,1,80,96,67,88,"Agree ","Strongly agree ",3,4,3,10,"RCI","Image","Republican","Control"
"66","Male","26-30","White","Bachelor's Degree","Democrat",2,1,24,2,30,10," Agree"," Agree",2,2,2,6,"DTG","Graph","Democrat","Treatment"
"67","Male","51+","White","Bachelor's Degree","Lean Republican",5,1,26,74,10,76,"Strongly agree ","Strongly agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"68","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,73,90,93,81,"Agree ","Agree ",2,2,3,7,"RTV","Vignette","Republican","Treatment"
"69","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,59,81,86,68,"Somewhat agree ","Agree ",3,4,4,11,"RCG","Graph","Republican","Control"
"70","Male","31-35","Hispanic or Latino/a","Associate Degree","Strong Democrat",1,1,100,100,60,0," Strongly agree"," Neither agree nor disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"71","Female","51+","White","High school graduate, diploma or the equivalent","Independent",4,0,100,100,55,36,"Somewhat agree ","Disagree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"72","Female","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,59,83,76,55,"Agree ","Disagree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"73","Male","26-30","Asian or Asian American","Bachelor's Degree","Republican",6,1,48,30,56,86,"Strongly agree ","Somewhat agree ",1,4,3,8,"RTV","Vignette","Republican","Treatment"
"74","Female","18-25","White","Bachelor's Degree","Democrat",2,1,63,44,60,46," Somewhat agree"," Agree",2,3,2,7,"DTI","Image","Democrat","Treatment"
"75","Female","31-35","White","Master's Degree","Independent",4,0,51,72,71,54,"Agree ","Somewhat agree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"76","Female","51+","White","Master's Degree","Independent",4,0,98,98,51,55," Somewhat disagree"," Disagree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"77","Male","31-35","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,79,66,81,73," Neither agree nor disagree"," Neither agree nor disagree",2,3,2,7,"DCG","Graph","Democrat","Control"
"78","Female","26-30","Asian or Asian American","Master's Degree","Independent",4,0,87,78,57,67," Somewhat agree"," Agree",3,2,3,8,"DCI","Image","Democrat","Control"
"79","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,35,2,20,1,"Strongly agree ","Strongly agree ",2,2,2,6,"RTG","Graph","Republican","Treatment"
"80","Male","31-35","Asian or Asian American","Doctorate Degree","Strong Democrat",1,1,99,50,76,14," Strongly agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"81","Male","26-30","Hispanic or Latino/a","Bachelor's Degree","Lean Democrat",3,1,95,94,64,40," Strongly agree"," Strongly agree",2,2,3,7,"DTG","Graph","Democrat","Treatment"
"82","Male","26-30","White","Bachelor's Degree","Democrat",2,1,90,5,70,31," Agree"," Agree",3,3,4,10,"DTI","Image","Democrat","Treatment"
"83","Female","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,90,94,94,84,"Agree ","Agree ",2,2,3,7,"RTV","Vignette","Republican","Treatment"
"84","Male","31-35","Asian or Asian American","Bachelor's Degree","Republican",6,1,73,84,89,88,"Agree ","Agree ",2,3,3,8,"RTI","Image","Republican","Treatment"
"85","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,54,53,86,52," Strongly agree"," Strongly disagree",4,4,NA,NA,"DTV","Vignette","Democrat","Treatment"
"86","Female","36-40","White","Bachelor's Degree","Lean Democrat",3,1,100,100,68,56," Somewhat disagree"," Somewhat disagree",2,2,4,8,"DTG","Graph","Democrat","Treatment"
"87","Male","51+","Other","Master's Degree","Republican",6,1,90,95,5,81,"Strongly agree ","Strongly agree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"88","Female","51+","White","Associate Degree","Lean Democrat",3,1,75,45,77,50," Somewhat agree"," Agree",3,3,4,10,"DCI","Image","Democrat","Control"
"89","Female","31-35","White","Some college credit, no degree","Strong Democrat",1,1,100,95,84,0," Strongly agree"," Agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"90","Male","31-35","White","Some college credit, no degree","Strong Democrat",1,1,100,73,100,10," Strongly agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"91","Male","31-35","Asian or Asian American","Bachelor's Degree","Lean Republican",5,1,58,82,83,55,"Somewhat disagree ","Disagree ",2,3,4,9,"RCG","Graph","Republican","Control"
"92","Male","31-35","White","High school graduate, diploma or the equivalent","Democrat",2,1,100,74,100,11," Strongly agree"," Strongly agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"93","Male","31-35","Asian or Asian American","Master's Degree","Democrat",2,1,77,55,49,70," Agree"," Somewhat agree",2,3,2,7,"DCI","Image","Democrat","Control"
"94","Male","31-35","Asian or Asian American","Master's Degree","Lean Democrat",3,1,74,5,64,10," Somewhat agree"," Agree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"95","Male","41-45","Asian or Asian American","Bachelor's Degree","Independent",4,0,70,60,65,35," Strongly agree"," Strongly agree",1,2,1,4,"DCV","Vignette","Democrat","Control"
"96","Male","36-40","Hispanic or Latino/a,Black or African American,American Indian or Alaska Native","Some college credit, no degree","Independent",4,0,1,1,0,0,"Neither agree nor disagree ","Neither agree nor disagree ",2,2,2,6,"RCG","Graph","Republican","Control"
"97","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,95,95,20,20," Somewhat agree"," Somewhat agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"98","Male","31-35","White","Bachelor's Degree","Democrat",2,1,95,5,92,8," Agree"," Agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"99","Female","46-50","White","Bachelor's Degree","Democrat",2,1,100,14,81,13," Agree"," Somewhat agree",2,2,1,5,"DCI","Image","Democrat","Control"
"100","Male","26-30","Asian or Asian American","Master's Degree","Independent",4,0,99,76,78,98," Agree"," Agree",4,4,3,11,"DTG","Graph","Democrat","Treatment"
"101","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,62,78,70,89,"Somewhat agree ","Agree ",3,4,4,11,"RTI","Image","Republican","Treatment"
"102","Male","36-40","White","Bachelor's Degree","Independent",4,0,100,100,40,40," Somewhat disagree"," Somewhat disagree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"103","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,48,45,51,49," Somewhat disagree"," Somewhat disagree",1,1,2,4,"DTI","Image","Democrat","Treatment"
"104","Male","31-35","White","Bachelor's Degree","Independent",4,0,82,83,30,56,"Agree ","Neither agree nor disagree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"105","Male","31-35","Asian or Asian American","Bachelor's Degree","Democrat",2,1,73,63,71,65," Somewhat agree"," Neither agree nor disagree",2,2,2,6,"DCV","Vignette","Democrat","Control"
"106","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,40,27,30,41,"Agree ","Agree ",2,2,2,6,"RTI","Image","Republican","Treatment"
"107","Male","18-25","Asian or Asian American","Some college credit, no degree","Democrat",2,1,89,33,91,24," Agree"," Somewhat disagree",1,2,1,4,"DTI","Image","Democrat","Treatment"
"108","Male","31-35","White","Bachelor's Degree","Strong Democrat",1,1,82,73,81,75," Strongly agree"," Strongly agree",2,2,1,5,"DTG","Graph","Democrat","Treatment"
"109","Male","41-45","White","Bachelor's Degree","Lean Democrat",3,1,76,48,76,42," Somewhat agree"," Somewhat agree",1,1,1,3,"DTG","Graph","Democrat","Treatment"
"110","Male","26-30","White","High school graduate, diploma or the equivalent","Republican",6,1,49,75,49,66,"Agree ","Somewhat disagree ",3,3,2,8,"RCV","Vignette","Republican","Control"
"111","Female","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,98,98,54,56," Somewhat agree"," Somewhat agree",3,3,3,9,"DCG","Graph","Democrat","Control"
"112","Male","26-30","White","Some college credit, no degree","Lean Democrat",3,1,100,100,5,0," Agree"," Agree",2,2,3,7,"DTI","Image","Democrat","Treatment"
"113","Female","31-35","White","Bachelor's Degree","Democrat",2,1,95,79,95,10," Agree"," Agree",1,1,1,3,"DCI","Image","Democrat","Control"
"114","Male","46-50","Asian or Asian American","Bachelor's Degree","Democrat",2,1,100,75,80,60," Somewhat agree"," Disagree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"115","Male","26-30","Asian or Asian American","Bachelor's Degree","Democrat",2,1,73,72,80,71," Somewhat agree"," Somewhat agree",2,2,3,7,"DTV","Vignette","Democrat","Treatment"
"116","Male","18-25","White","High school graduate, diploma or the equivalent","Democrat",2,1,95,0,80,1," Agree"," Strongly agree",1,1,2,4,"DCI","Image","Democrat","Control"
"117","Male","31-35","Hispanic or Latino/a","Master's Degree","Democrat",2,1,85,85,55,35," Agree"," Somewhat agree",3,2,3,8,"DTV","Vignette","Democrat","Treatment"
"118","Male","36-40","White","Master's Degree","Republican",6,1,26,73,21,80,"Somewhat disagree ","Somewhat disagree ",1,1,1,3,"RTV","Vignette","Republican","Treatment"
"119","Male","26-30","Asian or Asian American","Master's Degree","Republican",6,1,100,99,96,90,"Agree ","Somewhat agree ",4,4,4,12,"RCV","Vignette","Republican","Control"
"120","Male","26-30","American Indian or Alaska Native","Master's Degree","Democrat",2,1,96,83,90,88," Agree"," Strongly agree",2,3,2,7,"DTG","Graph","Democrat","Treatment"
"121","Male","36-40","White","Some college credit, no degree","Republican",6,1,98,100,1,90,"Strongly agree ","Somewhat agree ",2,2,1,5,"RTV","Vignette","Republican","Treatment"
"122","Male","46-50","White","Associate Degree","Democrat",2,1,100,63,86,0," Strongly agree"," Agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"123","Male","36-40","White","Bachelor's Degree","Democrat",2,1,95,84,80,48," Agree"," Neither agree nor disagree",2,3,4,9,"DTI","Image","Democrat","Treatment"
"124","Female","31-35","White","Master's Degree","Lean Democrat",3,1,100,100,50,40," Neither agree nor disagree"," Disagree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"125","Male","26-30","White","Master's Degree","Strong Democrat",1,1,77,92,89,78," Strongly agree"," Strongly agree",2,2,2,6,"DTI","Image","Democrat","Treatment"
"126","Male","31-35","American Indian or Alaska Native","Associate Degree","Strong Democrat",1,1,91,85,74,90," Agree"," Agree",2,2,2,6,"DTG","Graph","Democrat","Treatment"
"127","Female","31-35","Black or African American","Some college credit, no degree","Independent",4,0,94,78,50,46,"Agree ","Agree ",1,1,1,3,"RCI","Image","Republican","Control"
"128","Female","26-30","White","Bachelor's Degree","Independent",4,0,34,78,47,78,"Agree ","Neither agree nor disagree ",2,3,3,8,"RCI","Image","Republican","Control"
"129","Female","18-25","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,86,92,90,83," Strongly agree"," Strongly agree",3,3,4,10,"DCV","Vignette","Democrat","Control"
"130","Female","51+","White","Master's Degree","Strong Republican",7,1,18,58,29,70,"Neither agree nor disagree ","Agree ",2,3,2,7,"RCG","Graph","Republican","Control"
"131","","41-45","Asian or Asian American","Bachelor's Degree","Democrat",2,1,90,80,85,75," Agree"," Somewhat disagree",2,2,1,5,"DTG","Graph","Democrat","Treatment"
"132","Female","51+","White","Bachelor's Degree","Strong Republican",7,1,2,85,1,52,"Strongly agree ","Neither agree nor disagree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"133","Male","31-35","White","Some college credit, no degree","Independent",4,0,55,50,46,21,"Agree ","Agree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"134","Female","36-40","White","High school graduate, diploma or the equivalent","Independent",4,0,95,100,50,50," Agree"," Somewhat disagree",1,2,1,4,"DCG","Graph","Democrat","Control"
"135","Male","18-25","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,91,87,89,84," Strongly agree"," Strongly agree",3,3,4,10,"DTG","Graph","Democrat","Treatment"
"136","Male","26-30","White","High school graduate, diploma or the equivalent","Republican",6,1,26,100,10,90,"Strongly agree ","Strongly agree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"137","Male","26-30","White","Some college credit, no degree","Lean Democrat",3,1,100,100,25,0," Agree"," Somewhat agree",2,2,3,7,"DCV","Vignette","Democrat","Control"
"138","Female","51+","White","Master's Degree","Strong Republican",7,1,76,100,75,100,"Neither agree nor disagree ","Somewhat agree ",1,1,1,3,"RTG","Graph","Republican","Treatment"
"139","Male","31-35","White","Some college credit, no degree","Independent",4,0,100,100,50,50,"Agree ","Disagree ",2,2,3,7,"RCV","Vignette","Republican","Control"
"140","Female","26-30","Asian or Asian American","Master's Degree","Strong Republican",7,1,85,100,75,91,"Strongly agree ","Agree ",3,4,4,11,"RTG","Graph","Republican","Treatment"
"141","Male","26-30","American Indian or Alaska Native","Master's Degree","Strong Democrat",1,1,91,95,98,94," Agree"," Strongly agree",2,3,3,8,"DTV","Vignette","Democrat","Treatment"
"142","Female","26-30","Asian or Asian American","Master's Degree","Democrat",2,1,84,77,64,53," Neither agree nor disagree"," Neither agree nor disagree",1,2,1,4,"DCI","Image","Democrat","Control"
"143","Female","31-35","White","Bachelor's Degree","Democrat",2,1,97,98,93,73," Agree"," Somewhat agree",3,3,3,9,"DTG","Graph","Democrat","Treatment"
"144","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,86,91,81,93," Agree"," Strongly agree",2,1,2,5,"DTG","Graph","Democrat","Treatment"
"145","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,82,98,95,89,"Agree ","Agree ",3,2,2,7,"RCV","Vignette","Republican","Control"
"146","Male","36-40","White","High school graduate, diploma or the equivalent","Democrat",2,1,90,8,95,7," Agree"," Agree",2,3,3,8,"DCI","Image","Democrat","Control"
"147","Female","26-30","American Indian or Alaska Native","Bachelor's Degree","Independent",4,0,85,80,63,12,"Agree ","Disagree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"148","Male","31-35","Asian or Asian American","Bachelor's Degree","Independent",4,0,69,75,70,62," Neither agree nor disagree"," Neither agree nor disagree",2,3,2,7,"DTV","Vignette","Democrat","Treatment"
"149","Female","26-30","White","Bachelor's Degree","Democrat",2,1,85,75,68,0," Agree"," Somewhat agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"150","Male","31-35","White","Some college credit, no degree","Strong Democrat",1,1,100,100,58,1," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"151","Male","41-45","White","Bachelor's Degree","Republican",6,1,100,82,74,84,"Agree ","Strongly agree ",3,2,3,8,"RTI","Image","Republican","Treatment"
"152","Male","41-45","White","High school graduate, diploma or the equivalent","Lean Democrat",3,1,100,90,80,30," Strongly agree"," Neither agree nor disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"153","Female","31-35","White","Associate Degree","Independent",4,0,100,100,35,33," Agree"," Somewhat disagree",1,1,1,3,"DTI","Image","Democrat","Treatment"
"154","Female","41-45","Black or African American","Associate Degree","Independent",4,0,90,85,50,40,"Somewhat agree ","Neither agree nor disagree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"155","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,88,93,94,85,"Agree ","Agree ",2,2,3,7,"RTV","Vignette","Republican","Treatment"
"156","Male","26-30","Asian or Asian American","Master's Degree","Republican",6,1,100,74,79,66,"Strongly agree ","Strongly agree ",3,3,3,9,"RTG","Graph","Republican","Treatment"
"157","Male","18-25","White","Bachelor's Degree","Strong Democrat",1,1,79,56,91,41," Strongly agree"," Strongly agree",3,2,3,8,"DTV","Vignette","Democrat","Treatment"
"158","Male","26-30","White","Bachelor's Degree","Republican",6,1,50,92,50,92,"Agree ","Strongly agree ",2,2,2,6,"RCI","Image","Republican","Control"
"159","Male","36-40","White","","Independent",4,0,100,100,100,100," Somewhat disagree"," Disagree",1,1,1,3,"DCI","Image","Democrat","Control"
"160","Female","41-45","Asian or Asian American","Bachelor's Degree","Independent",4,0,75,89,80,90,"Agree ","Agree ",1,1,1,3,"RCG","Graph","Republican","Control"
"161","Female","26-30","White","Bachelor's Degree","Democrat",2,1,96,76,100,84," Somewhat agree"," Neither agree nor disagree",1,2,1,4,"DCI","Image","Democrat","Control"
"162","Male","31-35","White","Bachelor's Degree","Democrat",2,1,71,57,69,60," Somewhat disagree"," Somewhat agree",2,2,3,7,"DCG","Graph","Democrat","Control"
"163","Male","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,76,90,93,76,"Somewhat agree ","Agree ",2,3,2,7,"RCI","Image","Republican","Control"
"164","Female","51+","White","Some college credit, no degree","Republican",6,1,100,100,2,80,"Agree ","Somewhat agree ",1,1,1,3,"RTI","Image","Republican","Treatment"
"165","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,93,97,94,89," Strongly agree"," Agree",2,2,3,7,"DCV","Vignette","Democrat","Control"
"166","Male","26-30","Asian or Asian American","Bachelor's Degree","Independent",4,0,88,76,90,77,"Neither agree nor disagree ","Agree ",2,3,3,8,"RCI","Image","Republican","Control"
"167","Male","41-45","White","Bachelor's Degree","Lean Republican",5,1,100,100,19,41,"Agree ","Disagree ",1,1,1,3,"RCI","Image","Republican","Control"
