StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Sex,Age,Race,Education,PID,Q40_1,Q40_3,Q37_1,Q37_3,Q36,Q35,Q56,Q57,Q58,Q42_1,Q42_3,Q50_1,Q50_3,Q51,Q52,Q32,Q33,Q34,Q41,Q42,Q43,Q47,Q48,Q49,Q46,Q45,Q44,SurveyID,FL_36_DO,FL_37_DO,FL_40_DO,FL_53_DO,FL_38_DO,FL_41_DO,FL_67_DO,FL_39_DO,FL_42_DO,FL_81_DO,FL_17_DO,FL_28_DO,FL_29_DO,FL_30_DO,FL_18_DO,FL_20_DO,FL_21_DO,FL_22_DO
4/11/2021 19:02,4/11/2021 19:03,Survey Preview,,100,60,TRUE,4/11/2021 19:03,R_3qpwdcGxlaTJ3Cx,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,,,,,Independent,,,,,,,3,1 (never),4,58,57,61,60,Somewhat disagree,Somewhat agree,,,,,,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,,,,894303,FL_38,,,,FL_41,DCV,,,,,,,,,,,,
4/11/2021 19:04,4/11/2021 19:05,Survey Preview,,100,34,TRUE,4/11/2021 19:05,R_2TtqvkSVFkIUC6F,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Female,36-40,,Master's Degree,Independent,21,22,18,19,Disagree,Agree,3,3,4,,,,,,,,,,,,,,,,,,,328029,FL_39,,,,,,,FL_42,FL_186,,,,,,,,,
4/11/2021 19:07,4/11/2021 19:08,Survey Preview,,100,40,TRUE,4/11/2021 19:08,R_31F28RKTx78dHx4,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,,,,Doctorate Degree,Independent,51,52,50,51,Neither agree nor disagree,Somewhat agree,3,1 (never),3,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly agree,900793,FL_38,,,,FL_67,,RTV,,,,,,,,,,,
4/11/2021 19:08,4/11/2021 19:09,Survey Preview,,100,40,TRUE,4/11/2021 19:09,R_x5UUXLaro9WoZpL,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,,,,"Some high school, no diploma",Independent,,,,,,,2,2,4,44,46,46,48,Disagree,Neither agree nor disagree,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,454548,FL_38,,,,FL_41,DCV,,,,,,,,,,,,
4/11/2021 19:09,4/11/2021 19:09,Survey Preview,,100,26,TRUE,4/11/2021 19:09,R_0wUUC1Ft5AiNwxr,,,,,29.70559692,-95.40200043,preview,EN,Start the survey,,,,,Independent,68,56,42,30,Neither agree nor disagree,Neither agree nor disagree,2,1 (never),2,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,466844,FL_38,,,,FL_67,,RCV,,,,,,,,,,,
4/11/2021 19:10,4/11/2021 19:10,Survey Preview,,100,39,TRUE,4/11/2021 19:10,R_3HiVpjCFvExozku,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Non-binary / third gender,51+,Black or African American,Bachelor's Degree,Independent,,,,,,,3,1 (never),2,62,54,54,51,Neither agree nor disagree,Neither agree nor disagree,Neither satisfied nor dissatisfied,Strongly disagree,Above average,,,,,,,,,,801705,FL_37,FL_40,DCI,,,,,,,,,,,,,,,
4/11/2021 19:10,4/11/2021 19:11,Survey Preview,,100,53,TRUE,4/11/2021 19:11,R_3EJUoKBgz7Uki4X,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Non-binary / third gender,41-45,,,Independent,60,59,31,30,Somewhat disagree,Somewhat agree,3,3,3,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,796638,FL_38,,,,FL_67,,RTV,,,,,,,,,,,
4/11/2021 19:25,4/11/2021 19:26,IP Address,98.116.70.125,100,49,TRUE,4/11/2021 19:26,R_23WPHuLoUz1YRsy,,,,,40.73640442,-73.86949921,anonymous,EN,Start the survey,Male,18-25,White,Associate Degree,Democrat,,,,,,,4 (always),1 (never),4,84,56,65,94,Strongly agree,Neither agree nor disagree,,,,,,,,,,,,,241449,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 19:25,4/11/2021 19:26,IP Address,136.185.89.240,100,57,TRUE,4/11/2021 19:26,R_3jSTDQh6FRAmEqD,,,,,13.0579071,80.19210815,anonymous,EN,Start the survey,Male,26-30,American Indian or Alaska Native,Bachelor's Degree,Democrat,,,,,,,2,3,2,87,95,96,92,Agree,Somewhat agree,,,,,,,,,,,,,189634,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 19:25,4/11/2021 19:26,IP Address,174.111.195.93,100,78,TRUE,4/11/2021 19:26,R_3lMirQu7uRbnANz,,,,,36.03219604,-79.8588028,anonymous,EN,Start the survey,Male,26-30,White,"Some college credit, no degree",Strong Democrat,,,,,,,1 (never),1 (never),1 (not at all),1,49,47,0,Strongly agree,Strongly agree,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,841410,,,,,,,,,,,FL_29,,DTV,,,,,
4/11/2021 19:26,4/11/2021 19:26,IP Address,73.148.142.3,100,48,TRUE,4/11/2021 19:26,R_3oAeQwOxmYGduga,,,,,30.27549744,-81.58149719,anonymous,EN,Start the survey,Female,26-30,White,Bachelor's Degree,Independent,50,48,48,49,Neither agree nor disagree,Neither agree nor disagree,2,3,3,,,,,,,,,,,,,,,,,,,139550,FL_39,,,,,,,FL_42,FL_186,,,,,,,,,
4/11/2021 19:26,4/11/2021 19:27,IP Address,172.82.128.209,100,67,TRUE,4/11/2021 19:27,R_OoM9lCQLiXOpd9n,,,,,39.80039978,-88.29180145,anonymous,EN,Start the survey,Male,26-30,White,Bachelor's Degree,Republican,63,78,71,65,Strongly agree,Strongly agree,4 (always),4 (always),3,,,,,,,,,,Extremely satisfied,Strongly agree,One of the best,,,,,,,181053,,,,,,,,,,,,,,,FL_20,RCI,,
4/11/2021 19:26,4/11/2021 19:27,IP Address,106.198.74.86,100,85,TRUE,4/11/2021 19:27,R_3oEJA5p9x2ne9E0,,,,,13.0579071,80.19210815,anonymous,EN,Start the survey,Female,31-35,Asian or Asian American,Master's Degree,Independent,55,98,95,60,Somewhat agree,Somewhat disagree,3,3,3,,,,,,,,,,,,,,,,,,,391101,FL_39,,,,,,,FL_42,RTG,,,,,,,,,
4/11/2021 19:25,4/11/2021 19:27,IP Address,108.237.4.51,100,127,TRUE,4/11/2021 19:27,R_22ss7fWM1OZuFu8,,,,,35.41229248,-99.42500305,anonymous,EN,Start the survey,Male,51+,White,Bachelor's Degree,Republican,70,97,91,79,Somewhat agree,Somewhat disagree,1 (never),1 (never),1 (not at all),,,,,,,,,,,,,,,,,,,835434,,,,,,,,,,,,,,,FL_22,,,FL_177
4/11/2021 19:25,4/11/2021 19:27,IP Address,68.8.156.183,100,110,TRUE,4/11/2021 19:27,R_3Rf8E9LguOBNihn,,,,,32.74490356,-117.1650009,anonymous,EN,Start the survey,Female,26-30,White,"Some college credit, no degree",Lean Democrat,,,,,,,1 (never),1 (never),1 (not at all),25,65,20,0,Strongly agree,Strongly agree,,,,,,,Strongly disagree,Strongly agree,Strongly agree,,,,867851,,,,,,,,,,,FL_29,,DTV,,,,,
4/11/2021 19:26,4/11/2021 19:27,IP Address,76.236.219.69,100,48,TRUE,4/11/2021 19:27,R_22FW09DvncYPl5Z,,,,,34.23190308,-84.16269684,anonymous,EN,Start the survey,Female,26-30,White,Master's Degree,Democrat,,,,,,,2,2,2,28,64,51,31,Agree,Strongly agree,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,973543,,,,,,,,,,,FL_29,,DTV,,,,,
4/11/2021 19:26,4/11/2021 19:27,IP Address,68.119.146.246,100,69,TRUE,4/11/2021 19:27,R_3pm9mGu7aGjOkum,,,,,34.1230011,-117.8988037,anonymous,EN,Start the survey,Female,18-25,Asian or Asian American,Master's Degree,Independent,100,100,100,100,Neither agree nor disagree,Neither agree nor disagree,1 (never),1 (never),1 (not at all),,,,,,,,,,,,,,,,,,,301768,FL_39,,,,,,,FL_42,FL_186,,,,,,,,,
4/11/2021 19:27,4/11/2021 19:28,IP Address,64.121.102.112,100,43,TRUE,4/11/2021 19:28,R_31sGEjCXArI6xYs,,,,,40.58850098,-75.46420288,anonymous,EN,Start the survey,Male,26-30,White,Bachelor's Degree,Democrat,,,,,,,2,1 (never),1 (not at all),52,85,81,23,Strongly agree,Strongly agree,,,,,,,,,,,,,854997,,,,,,,,,,,FL_30,,,DTG,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,68.8.163.160,100,78,TRUE,4/11/2021 19:28,R_1n0Xnmdfc8T4bRn,,,,,32.74049377,-117.0934982,anonymous,EN,Start the survey,Male,36-40,White,"High school graduate, diploma or the equivalent",Democrat,,,,,,,3,1 (never),1 (not at all),26,77,40,0,Strongly agree,Strongly agree,,,,,,,Strongly disagree,Strongly agree,Strongly agree,,,,634314,,,,,,,,,,,FL_29,,DTV,,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,72.13.157.188,100,100,TRUE,4/11/2021 19:28,R_Wro2KFwMqKpjh1T,,,,,25.95849609,-80.13809967,anonymous,EN,Start the survey,Male,26-30,"White,Hispanic or Latino/a","High school graduate, diploma or the equivalent",Independent,,,,,,,1 (never),1 (never),1 (not at all),75,1,6,10,Strongly agree,Strongly disagree,,,,,,,,,,,,,674445,FL_39,,,,,,,FL_81,,FL_190,,,,,,,,
4/11/2021 19:27,4/11/2021 19:28,IP Address,174.55.146.72,100,78,TRUE,4/11/2021 19:28,R_10vLpbPKBVnvKSG,,,,,39.95170593,-76.70639801,anonymous,EN,Start the survey,Male,18-25,Asian or Asian American,"High school graduate, diploma or the equivalent",Democrat,,,,,,,2,2,1 (not at all),74,100,50,90,Agree,Agree,,,,,,,,,,,,,695883,,,,,,,,,,,FL_30,,,DTG,,,,
4/11/2021 19:25,4/11/2021 19:28,IP Address,45.47.49.42,100,152,TRUE,4/11/2021 19:28,R_3hDrktn4eliKGfD,,,,,43.11149597,-76.18340302,anonymous,EN,Start the survey,Female,36-40,White,"High school graduate, diploma or the equivalent",Independent,,,,,,,1 (never),1 (never),1 (not at all),100,100,50,50,Agree,Agree,,,,,,,,,,,,,891798,FL_39,,,,,,,FL_81,,FL_190,,,,,,,,
4/11/2021 19:27,4/11/2021 19:28,IP Address,76.111.237.64,100,57,TRUE,4/11/2021 19:28,R_3oFUzWlyuY4Mn9a,,,,,26.11659241,-80.31919861,anonymous,EN,Start the survey,Male,18-25,White,Associate Degree,Lean Republican,73,100,76,23,Agree,Agree,1 (never),1 (never),1 (not at all),,,,,,,,,,,,,,,,,,,337505,,,,,,,,,,,,,,,FL_22,,,FL_177
4/11/2021 19:27,4/11/2021 19:28,IP Address,71.174.239.26,100,72,TRUE,4/11/2021 19:28,R_1mIrktAB7pSPEx8,,,,,42.32080078,-71.23529816,anonymous,EN,Start the survey,Male,46-50,White,Master's Degree,Democrat,,,,,,,1 (never),1 (never),1 (not at all),100,100,71,65,Neither agree nor disagree,Disagree,,,,,,,,,,,,,324909,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,70.114.217.186,100,136,TRUE,4/11/2021 19:28,R_3KMz2bBlIKDBpHH,,,,,30.32000732,-97.7378006,anonymous,EN,Start the survey,Male,26-30,White,Bachelor's Degree,Democrat,,,,,,,3,2,3,19,86,85,0,Agree,Strongly agree,,,,,,,,,,,,,881408,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,32.214.127.10,100,105,TRUE,4/11/2021 19:28,R_3iX8PfAlEZlvGTG,,,,,41.26860046,-72.96510315,anonymous,EN,Start the survey,Male,26-30,Asian or Asian American,Bachelor's Degree,Strong Democrat,,,,,,,1 (never),1 (never),1 (not at all),20,100,100,10,Strongly agree,Strongly agree,,,,,,,Somewhat agree,Strongly disagree,Strongly disagree,,,,187928,,,,,,,,,,,FL_29,,DCV,,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,117.213.35.75,100,127,TRUE,4/11/2021 19:28,R_2YDHqAvBPTcdY6D,,,,,8.179000854,77.43231201,anonymous,EN,Start the survey,Female,18-25,Asian or Asian American,Bachelor's Degree,Republican,72,91,88,75,Somewhat agree,Strongly agree,3,4 (always),3,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,345635,,,,,,,,,,,,,,,FL_21,,RCV,
4/11/2021 19:27,4/11/2021 19:28,IP Address,117.251.33.164,100,88,TRUE,4/11/2021 19:28,R_3luAijyYe762L3E,,,,,12.918396,79.13250732,anonymous,EN,Start the survey,Female,18-25,American Indian or Alaska Native,Bachelor's Degree,Independent,75,87,59,48,Agree,Somewhat agree,2,2,3,,,,,,,,,,Neither satisfied nor dissatisfied,Somewhat agree,Above average,,,,,,,528946,FL_37,FL_53,,RCI,,,,,,,,,,,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,162.245.50.138,100,149,TRUE,4/11/2021 19:28,R_72vsdgUORITf4DT,,,,,36.59629822,-94.75630188,anonymous,EN,Start the survey,Male,36-40,White,Bachelor's Degree,Strong Democrat,,,,,,,1 (never),1 (never),1 (not at all),50,70,65,10,Agree,Somewhat agree,,,,,,,Strongly disagree,Neither agree nor disagree,Somewhat agree,,,,635379,,,,,,,,,,,FL_29,,DCV,,,,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,96.32.216.213,100,163,TRUE,4/11/2021 19:28,R_3F5v8S8qYVxyHc1,,,,,33.94610596,-83.41799927,anonymous,EN,Start the survey,Male,36-40,White,Bachelor's Degree,Independent,0,49,22,0,Strongly agree,Strongly agree,1 (never),1 (never),1 (not at all),,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly disagree,669414,FL_38,,,,FL_67,,RCV,,,,,,,,,,,
4/11/2021 19:27,4/11/2021 19:28,IP Address,59.92.179.189,100,102,TRUE,4/11/2021 19:28,R_3PY2vuDHQVpT9Uu,,,,,11.24479675,75.77209473,anonymous,EN,Start the survey,Female,18-25,Asian or Asian American,Bachelor's Degree,Democrat,,,,,,,2,2,3,45,95,94,57,Somewhat agree,Strongly agree,,,,,,,,,,,,,918850,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 19:25,4/11/2021 19:28,IP Address,99.2.65.40,100,177,TRUE,4/11/2021 19:28,R_22MqttQ2vkgS2fi,,,,,30.35240173,-81.58670044,anonymous,EN,Start the survey,Male,36-40,"White,Hispanic or Latino/a",Bachelor's Degree,Lean Republican,95,100,80,30,Agree,Neither agree nor disagree,1 (never),1 (never),1 (not at all),,,,,,,,,,Extremely dissatisfied,Strongly disagree,One of the worst,,,,,,,399813,,,,,,,,,,,,,,,FL_20,RTI,,
4/11/2021 19:26,4/11/2021 19:28,IP Address,59.92.179.189,100,113,TRUE,4/11/2021 19:28,R_3M3THPJZDyvaBmL,,,,,11.24479675,75.77209473,anonymous,EN,Start the survey,Female,18-25,White,Bachelor's Degree,Strong Democrat,,,,,,,2,1 (never),3,77,86,44,82,Neither agree nor disagree,Agree,,,,,,,,,,,,,502449,,,,,,,,,,,FL_30,,,DTG,,,,
4/11/2021 19:26,4/11/2021 19:29,IP Address,207.235.121.86,100,162,TRUE,4/11/2021 19:29,R_1dmM8o7cXU6ky2X,,,,,30.01780701,-97.1493988,anonymous,EN,Start the survey,Female,41-45,White,"High school graduate, diploma or the equivalent",Lean Republican,40,90,85,40,Somewhat agree,Agree,1 (never),1 (never),1 (not at all),,,,,,,,,,Somewhat dissatisfied,Strongly disagree,Below average,,,,,,,828505,,,,,,,,,,,,,,,FL_20,RCI,,
4/11/2021 19:27,4/11/2021 19:29,IP Address,1.38.57.5,100,121,TRUE,4/11/2021 19:29,R_2S8Jxg0h24kHz11,,,,,10.3842926,78.82089233,anonymous,EN,Start the survey,Female,26-30,American Indian or Alaska Native,Bachelor's Degree,Independent,86,97,90,95,Neither agree nor disagree,Strongly agree,3,3,4,,,,,,,,,,,,,,,,,,,802720,FL_39,,,,,,,FL_42,RTG,,,,,,,,,
4/11/2021 19:26,4/11/2021 19:29,IP Address,45.4.197.233,100,158,TRUE,4/11/2021 19:29,R_C4CIdwDibgvqqxH,,,,,40.75030518,-74.00140381,anonymous,EN,Start the survey,Male,26-30,White,Master's Degree,Independent,,,,,,,2,3,3,51,81,61,72,Neither agree nor disagree,Neither agree nor disagree,,,,,,,Somewhat disagree,Somewhat agree,Somewhat agree,,,,562969,FL_38,,,,FL_41,DCV,,,,,,,,,,,,
4/11/2021 19:26,4/11/2021 19:29,IP Address,42.106.177.182,100,158,TRUE,4/11/2021 19:29,R_uzk8dBX7Fqlotgd,,,,,9.919006348,78.11950684,anonymous,EN,Start the survey,Male,26-30,American Indian or Alaska Native,Bachelor's Degree,Republican,57,75,81,72,Neither agree nor disagree,Somewhat agree,2,3,2,,,,,,,,,,Neither satisfied nor dissatisfied,Somewhat agree,Average,,,,,,,115944,,,,,,,,,,,,,,,FL_20,RTI,,
4/11/2021 19:27,4/11/2021 19:29,IP Address,59.92.179.189,100,131,TRUE,4/11/2021 19:29,R_1jH5nU1AMYWXSux,,,,,11.24479675,75.77209473,anonymous,EN,Start the survey,Female,18-25,Asian or Asian American,Bachelor's Degree,Democrat,,,,,,,2,2,3,56,78,70,57,Somewhat disagree,Neither agree nor disagree,,,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,396050,,,,,,,,,,,FL_29,,DTV,,,,,
4/11/2021 19:27,4/11/2021 19:29,IP Address,122.178.207.151,100,83,TRUE,4/11/2021 19:29,R_2qCUdDpDF2qK95o,,,,,12.96339417,77.58551025,anonymous,EN,Start the survey,Female,31-35,Asian or Asian American,Bachelor's Degree,Independent,,,,,,,4 (always),3,5 (a great deal),89,91,80,93,Agree,Strongly agree,,,,,,,Strongly agree,Somewhat agree,Strongly agree,,,,880064,FL_38,,,,FL_41,DTV,,,,,,,,,,,,
